"method","path","source_file","surface","tenant_resolution","authentication","request_protection","capability_or_scope","authority","contract_ref","maturity","response_contract","notes"
"PATCH","/api/app/shops/:shopPublicId","src/pages/api/app/shops/[shopPublicId].ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+shop:update","shop:update","d1-transaction","app.shop","live","mutation_projection",""
"GET","/api/app/shops/:shopPublicId/abuse-reports","src/pages/api/app/shops/[shopPublicId]/abuse-reports.ts","dashboard","session->membership(shopPublicId)","session+shop","session+owner","moderation:read","d1-projection","app.moderation","live","abuse_report_projection",""
"DELETE","/api/app/shops/:shopPublicId/api-credentials/:credentialPublicId","src/pages/api/app/shops/[shopPublicId]/api-credentials/[credentialPublicId].ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+idempotency+expected-version","team:manage","d1-transaction","app.credentials","live","credential_projection",""
"GET","/api/app/shops/:shopPublicId/api-credentials","src/pages/api/app/shops/[shopPublicId]/api-credentials/index.ts","dashboard","session->membership(shopPublicId)","session+shop","session+recent-auth","team:manage","d1-projection","app.credentials","live","credential_projection","New credential token is revealed once only; list cannot recover it."
"POST","/api/app/shops/:shopPublicId/api-credentials","src/pages/api/app/shops/[shopPublicId]/api-credentials/index.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+idempotency","team:manage","d1-transaction","app.credentials","live","credential_creation_projection","New credential token is revealed once only; list cannot recover it."
"POST","/api/app/shops/:shopPublicId/assets/private-files","src/pages/api/app/shops/[shopPublicId]/assets/private-files.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+catalog:manage","catalog:manage","d1-transaction","app.inventory","live","private_asset_projection",""
"POST","/api/app/shops/:shopPublicId/media","src/pages/api/app/shops/[shopPublicId]/media.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+catalog:manage","catalog:manage","r2-put+d1-transaction","app.catalog","live","media_asset_projection","Storefront media upload (PNG/JPEG/WebP/AVIF up to 10MB) with magic-byte sniffing and plans storageBytes quota; R2 object rolled back on registration failure."
"GET","/api/app/shops/:shopPublicId/audit","src/pages/api/app/shops/[shopPublicId]/audit.ts","dashboard","session->membership(shopPublicId)","session+shop","session+owner","audit:read","d1-projection","app.audit-exports","live","audit_projection",""
"GET","/api/app/shops/:shopPublicId/automation/:taskId","src/pages/api/app/shops/[shopPublicId]/automation/[taskId].ts","dashboard","session->membership(shopPublicId)","session+shop","session+shop:read","automation:read","d1-projection","app.automation","live","automation_projection",""
"POST","/api/app/shops/:shopPublicId/automation/:taskId/cancel","src/pages/api/app/shops/[shopPublicId]/automation/[taskId]/cancel.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+expected-version+idempotency","automation:manage","d1-transaction","app.automation","live","automation_projection",""
"POST","/api/app/shops/:shopPublicId/automation/:taskId/resume","src/pages/api/app/shops/[shopPublicId]/automation/[taskId]/resume.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+expected-version+idempotency","automation:manage","d1-transaction","app.automation","live","automation_projection",""
"GET","/api/app/shops/:shopPublicId/automation","src/pages/api/app/shops/[shopPublicId]/automation/index.ts","dashboard","session->membership(shopPublicId)","session+shop","session+shop:read","automation:manage","d1-projection","app.automation","live","automation_projection","Only allowlisted service tasks may start; projection exposes safe status/error fields."
"POST","/api/app/shops/:shopPublicId/automation","src/pages/api/app/shops/[shopPublicId]/automation/index.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+idempotency","automation:manage","d1-transaction","app.automation","live","automation_projection","Only allowlisted service tasks may start; projection exposes safe status/error fields."
"GET","/api/app/shops/:shopPublicId/automation/rules","src/pages/api/app/shops/[shopPublicId]/automation/rules/index.ts","dashboard","session->membership(shopPublicId)","session+shop","session+shop:read","automation:read","d1-projection","app.automation.rules","live","automation_rule_projection","Seller-defined rules; every action still executes through the automation task engine."
"POST","/api/app/shops/:shopPublicId/automation/rules","src/pages/api/app/shops/[shopPublicId]/automation/rules/index.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+idempotency","automation:manage","d1-transaction","app.automation.rules","live","automation_rule_projection","Create replays on matching Idempotency-Key; conflicting body returns 409; webhook URLs pass the SSRF guard; plan quota automation_rules enforced."
"GET","/api/app/shops/:shopPublicId/automation/rules/:ruleId","src/pages/api/app/shops/[shopPublicId]/automation/rules/[ruleId].ts","dashboard","session->membership(shopPublicId)","session+shop","session+shop:read","automation:read","d1-projection","app.automation.rules","live","automation_rule_projection","Cross-tenant lookups always return 404."
"PATCH","/api/app/shops/:shopPublicId/automation/rules/:ruleId","src/pages/api/app/shops/[shopPublicId]/automation/rules/[ruleId].ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+expected-version","automation:manage","d1-transaction","app.automation.rules","live","automation_rule_projection","Optimistic version conflict returns 409 automation_version_conflict."
"DELETE","/api/app/shops/:shopPublicId/automation/rules/:ruleId","src/pages/api/app/shops/[shopPublicId]/automation/rules/[ruleId].ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+expected-version","automation:manage","d1-transaction","app.automation.rules","live","none","Action runs cascade; existing task rule_id is set null so history survives."
"POST","/api/app/shops/:shopPublicId/automation/rules/:ruleId/toggle","src/pages/api/app/shops/[shopPublicId]/automation/rules/[ruleId]/toggle.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+expected-version","automation:manage","d1-transaction","app.automation.rules","live","automation_rule_projection","Enable/disable with optimistic version check."
"GET","/api/app/shops/:shopPublicId/catalog","src/pages/api/app/shops/[shopPublicId]/catalog.ts","dashboard","session->membership(shopPublicId)","session+shop","session+catalog:manage","catalog:manage","d1-projection","app.catalog","live","safe_json_projection",""
"GET","/api/app/shops/:shopPublicId/catalog/visibility","src/pages/api/app/shops/[shopPublicId]/catalog/visibility.ts","dashboard","session->membership(shopPublicId)","session+shop","session+catalog:manage","catalog:manage","d1-projection","app.catalog","live","catalog_visibility_projection","Tenant-bound visibility rows are capped at 5,000 and expose safe product/channel status only."
"PUT","/api/app/shops/:shopPublicId/catalog/visibility","src/pages/api/app/shops/[shopPublicId]/catalog/visibility.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+idempotency+expected-version","catalog:manage","d1-transaction","app.catalog","live","catalog_visibility_projection","Optimistic version and idempotent status mutation; missing rows are created only with expectedVersion=0."
"POST","/api/app/shops/:shopPublicId/catalog/publish","src/pages/api/app/shops/[shopPublicId]/catalog/publish.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+expected-version","catalog:publish","d1-transaction","app.storefront","live","publication_projection","Owner-only legacy catalog publication; response/state differs from storefront publish."
"PUT","/api/app/shops/:shopPublicId/categories/:categoryId","src/pages/api/app/shops/[shopPublicId]/categories/[categoryId].ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+catalog:manage","catalog:manage","d1-transaction","app.catalog","live","mutation_projection",""
"POST","/api/app/shops/:shopPublicId/categories","src/pages/api/app/shops/[shopPublicId]/categories/index.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+catalog:manage","catalog:manage","d1-transaction","app.catalog","live","mutation_projection",""
"POST","/api/app/shops/:shopPublicId/deletion/cancel","src/pages/api/app/shops/[shopPublicId]/deletion/cancel.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+expected-version+idempotency","shop:delete","d1-transaction","app.deletion","live","deletion_projection",""
"GET","/api/app/shops/:shopPublicId/deletion","src/pages/api/app/shops/[shopPublicId]/deletion/index.ts","dashboard","session->membership(shopPublicId)","session+shop","session+owner","shop:delete","d1-projection","app.deletion","live","deletion_projection",""
"POST","/api/app/shops/:shopPublicId/deletion","src/pages/api/app/shops/[shopPublicId]/deletion/index.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","shop:delete","d1-transaction","app.deletion","live","deletion_projection",""
"POST","/api/app/shops/:shopPublicId/deletion/resume","src/pages/api/app/shops/[shopPublicId]/deletion/resume.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","shop:delete","d1-transaction","app.deletion","live","deletion_projection",""
"DELETE","/api/app/shops/:shopPublicId/domains/:domainId","src/pages/api/app/shops/[shopPublicId]/domains/[domainId].ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","domains:manage","d1-transaction","app.domains","live","domain_projection",""
"POST","/api/app/shops/:shopPublicId/domains/:domainId/checks","src/pages/api/app/shops/[shopPublicId]/domains/[domainId]/checks.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","domains:manage","d1-transaction","app.domains","live","domain_check_projection",""
"PUT","/api/app/shops/:shopPublicId/domains/:domainId/primary","src/pages/api/app/shops/[shopPublicId]/domains/[domainId]/primary.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","domains:manage","d1-transaction","app.domains","live","domain_projection",""
"GET","/api/app/shops/:shopPublicId/domains","src/pages/api/app/shops/[shopPublicId]/domains/index.ts","dashboard","session->membership(shopPublicId)","session+shop","session+domains:read","domains:manage","d1-projection","app.domains","external_pending","domain_projection","External hostname provisioning is external/provider pending; hostname is immutable after create."
"POST","/api/app/shops/:shopPublicId/domains","src/pages/api/app/shops/[shopPublicId]/domains/index.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","domains:manage","d1-transaction","app.domains","external_pending","domain_projection","External hostname provisioning is external/provider pending; hostname is immutable after create."
"POST","/api/app/shops/:shopPublicId/exports/:exportId/download","src/pages/api/app/shops/[shopPublicId]/exports/[exportId]/download.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","data:export","d1-transaction","app.audit-exports","live","private_export_attachment",""
"GET","/api/app/shops/:shopPublicId/exports","src/pages/api/app/shops/[shopPublicId]/exports/index.ts","dashboard","session->membership(shopPublicId)","session+shop","session+owner","data:export","d1-projection","app.audit-exports","live","export_projection",""
"POST","/api/app/shops/:shopPublicId/exports","src/pages/api/app/shops/[shopPublicId]/exports/index.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","data:export","d1-transaction","app.audit-exports","live","export_projection",""
"GET","/api/app/shops/:shopPublicId/channels/catalog","src/pages/api/app/shops/[shopPublicId]/channels/catalog.ts","dashboard","session->membership(shopPublicId)","session+shop","session+shop:read","shop:read","d1-projection","app.channels","provider_pending","channel_expansion_catalog","Safe capability manifests for Telegram Mini App, Zalo Mini App, WhatsApp Cloud and Discord bot; no credentials or provider payloads."
"GET","/api/app/shops/:shopPublicId/channels/requests","src/pages/api/app/shops/[shopPublicId]/channels/requests.ts","dashboard","session->membership(shopPublicId)","session+shop","session+shop:read","shop:read","d1-projection","app.channels","provider_pending","channel_connector_request_projection","Tenant-bound connector intent list; status is not provider activation."
"POST","/api/app/shops/:shopPublicId/channels/requests","src/pages/api/app/shops/[shopPublicId]/channels/requests.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+idempotency","integrations:manage","d1-transaction","app.channels","provider_pending","channel_connector_request_projection","Creates migrations-0055/0056 connector intent with idempotent tenant scope and direct-D1 insert guards; never accepts inline secrets or marks a provider active."
"DELETE","/api/app/shops/:shopPublicId/channels/requests/:requestPublicId","src/pages/api/app/shops/[shopPublicId]/channels/requests/[requestPublicId].ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+idempotency+expected-version","integrations:manage","d1-transaction","app.channels","provider_pending","channel_connector_request_projection","Self-cancels requested/provider_pending intent with CAS version guard; immutable request row is retained and migration-0056 protects direct inserts."
"GET","/api/app/shops/:shopPublicId/channels/credentials","src/pages/api/app/shops/[shopPublicId]/channels/credentials/index.ts","dashboard","session->membership(shopPublicId)","session+shop","session+recent-auth","integrations:manage","d1-projection","app.channels.credentials","provider_pending","channel_credential_projection","Returns only tenant-bound credential metadata; encrypted envelope, IV, fingerprint and plaintext are never returned."
"POST","/api/app/shops/:shopPublicId/channels/credentials","src/pages/api/app/shops/[shopPublicId]/channels/credentials/index.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+idempotency","integrations:manage","d1-transaction","app.channels.credentials","provider_pending","channel_credential_projection","Accepts only an encrypted envelope for a known connection, persists status=pending and never activates a provider or accepts plaintext secrets."
"GET","/api/app/shops/:shopPublicId/integrations/telegram","src/pages/api/app/shops/[shopPublicId]/integrations/telegram.ts","dashboard","session->membership(shopPublicId)","session+shop","session+integrations:manage","integrations:manage","d1-projection","app.integrations.telegram","provider_pending","provider_safe_projection","Bot token and webhook secret are never returned."
"PUT","/api/app/shops/:shopPublicId/integrations/telegram","src/pages/api/app/shops/[shopPublicId]/integrations/telegram.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","integrations:manage","d1-transaction","app.integrations.telegram","provider_pending","provider_config_projection","Bot token and webhook secret are never returned."
"DELETE","/api/app/shops/:shopPublicId/integrations/telegram","src/pages/api/app/shops/[shopPublicId]/integrations/telegram.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","integrations:manage","d1-transaction","app.integrations.telegram","provider_pending","provider_config_projection","Bot token and webhook secret are never returned."
"POST","/api/app/shops/:shopPublicId/integrations/telegram/health-checks","src/pages/api/app/shops/[shopPublicId]/integrations/telegram/health-checks.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","integrations:manage","d1-transaction","app.integrations.telegram","provider_pending","provider_health_projection",""
"GET","/api/app/shops/:shopPublicId/integrations/telegram/menu","src/pages/api/app/shops/[shopPublicId]/integrations/telegram/menu.ts","dashboard","session->membership(shopPublicId)","session+shop","session+integrations:read","integrations:read","d1-projection","app.integrations.telegram.menu","live","telegram_menu_config_projection","Returns tenant Telegram bot menu and industry preset configuration."
"POST","/api/app/shops/:shopPublicId/integrations/telegram/menu","src/pages/api/app/shops/[shopPublicId]/integrations/telegram/menu.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","integrations:manage","d1-transaction","app.integrations.telegram.menu","live","telegram_menu_config_projection","Updates tenant Telegram bot menu and industry preset configuration."
"POST","/api/channels/telegram-mini-app/sessions/:shopPublicId","src/pages/api/channels/telegram-mini-app/sessions/[shopPublicId].ts","channel","shopPublicId->active tenant context","public Telegram initData exchange","bounded body+rate-limit+replay+no-store","telegram.mini_app","d1-transaction","channels.telegram-mini-app.session","contract_ready","opaque_session_projection","Requires active Telegram integration, active credential version, active connector request and valid subscription; provider activation remains external."
"POST","/api/app/shops/:shopPublicId/moderation/actions","src/pages/api/app/shops/[shopPublicId]/moderation/actions.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+idempotency","moderation:manage","d1-transaction","app.moderation","live","moderation_projection",""
"PUT","/api/app/shops/:shopPublicId/onboarding/channels","src/pages/api/app/shops/[shopPublicId]/onboarding/channels.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+owner","onboarding:manage","d1-transaction","app.onboarding","live","mutation_projection",""
"GET","/api/app/shops/:shopPublicId/onboarding","src/pages/api/app/shops/[shopPublicId]/onboarding/index.ts","dashboard","session->membership(shopPublicId)","session+shop","session+owner","onboarding:read","d1-projection","app.onboarding","live","safe_json_projection",""
"PUT","/api/app/shops/:shopPublicId/onboarding/settings","src/pages/api/app/shops/[shopPublicId]/onboarding/settings.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+owner","onboarding:manage","d1-transaction","app.onboarding","live","mutation_projection",""
"GET","/api/app/shops/:shopPublicId/onboarding/overview","src/pages/api/app/shops/[shopPublicId]/onboarding/overview.ts","dashboard","session->membership(shopPublicId)","session+shop","session+shop:read","shop:read","d1-projection","app.onboarding","live","safe_json_projection",""
"POST","/api/app/shops/:shopPublicId/onboarding/seed-preset","src/pages/api/app/shops/[shopPublicId]/onboarding/seed-preset.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+owner","onboarding:manage","d1-transaction","app.onboarding","live","mutation_projection",""
"POST","/api/app/shops/:shopPublicId/onboarding/test-order","src/pages/api/app/shops/[shopPublicId]/onboarding/test-order.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+owner","onboarding:manage","d1-transaction","app.onboarding","live","dry_run_projection","Dry-run only: no order, payment, reservation or fulfillment side effect."
"GET","/api/app/shops/:shopPublicId/bookings","src/pages/api/app/shops/[shopPublicId]/bookings/index.ts","dashboard","session->membership(shopPublicId)","session+shop","session+orders:read","orders:read","d1-projection","app.orders","live","seller_booking_projection","Calendar feed: appointments overlapping rangeStart/rangeEnd in shop time; cancelled hidden."
"POST","/api/app/shops/:shopPublicId/bookings/:bookingId","src/pages/api/app/shops/[shopPublicId]/bookings/[bookingId].ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","fulfillment:manage","d1-transaction","app.orders","live","seller_booking_projection","Transition booked → completed/no_show/cancelled; state machine + audit."
"POST","/api/app/shops/:shopPublicId/booking-resources","src/pages/api/app/shops/[shopPublicId]/booking-resources.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+catalog:manage","catalog:manage","d1-transaction","app.catalog","live","booking_resource_projection","Create resource {name, roleLabel} or set weekly window {resourceId, weekday, startMinute, endMinute}."
"GET","/api/app/shops/:shopPublicId/orders/:orderId","src/pages/api/app/shops/[shopPublicId]/orders/[orderId].ts","dashboard","session->membership(shopPublicId)","session+shop","session+shop:read","shop:read","d1-projection","app.orders","live","private_order_admin_projection",""
"GET","/api/app/shops/:shopPublicId/metrics/range","src/pages/api/app/shops/[shopPublicId]/metrics/range.ts","storefront","hostname->active shop; member shop:read","session_cookie","session","d1-read","seller.metrics","live","metrics_range_projection","EX3.1: per-day SUM(total_minor) over paid orders grouped by currency; foreign-currency rows counted, never summed; days=7|30."
"GET","/api/app/shops/:shopPublicId/discounts","src/pages/api/app/shops/[shopPublicId]/discounts/index.ts","dashboard","session member (catalog:read)","active_session","","catalog:read","d1-read","ex.discounts","live","seller_discount_list","EX3.4b seller promo management; reads the same discounts rows the storefront quote re-validates atomically."
"POST","/api/app/shops/:shopPublicId/discounts","src/pages/api/app/shops/[shopPublicId]/discounts/index.ts","dashboard","session member (catalog:manage)","active_session","csrf+idempotency-capable","catalog:manage","d1-transaction","ex.discounts","live","seller_discount_projection","EX3.4b; forward-only lifecycle (create + status flips, no edits/deletes); fixed-value discounts bind the shop currency; audit-logged."
"PATCH","/api/app/shops/:shopPublicId/discounts/:discountId","src/pages/api/app/shops/[shopPublicId]/discounts/[discountId].ts","dashboard","session member (catalog:manage)","active_session","csrf","catalog:manage","d1-transaction","ex.discounts","live","seller_discount_projection","EX3.4b enable/disable only; audited as seller.discount.enabled/disabled."
"GET","/api/app/shops/:shopPublicId/today","src/pages/api/app/shops/[shopPublicId]/today.ts","storefront","hostname->active shop; member shop:read (sections degrade by role)","session_cookie","session+etag-conditional","d1-read","seller.today","live","today_snapshot_projection","EX3.2: cockpit read model (health/metrics/queue/activity/recentOrders with six-state sections); owner-only sections surface forbidden, never empty."
"POST","/api/app/shops/:shopPublicId/orders/:orderId/manual-fulfillments","src/pages/api/app/shops/[shopPublicId]/orders/[orderId]/manual-fulfillments.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth+idempotency","fulfillment:manage","d1-transaction","app.orders","live","manual_fulfillment_projection","Immutable seller-attested per-item ledger; external reference is not echoed as provider data."
"POST","/api/app/shops/:shopPublicId/orders/:orderId/shipping","src/pages/api/app/shops/[shopPublicId]/orders/[orderId]/shipping.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","fulfillment:manage","d1-transaction","app.orders","live","shipping_dispatch_projection","Physical dispatch progress (packing/shipped/delivered) with carrier and tracking; paid orders only."
"GET","/api/app/shops/:shopPublicId/orders","src/pages/api/app/shops/[shopPublicId]/orders/index.ts","dashboard","session->membership(shopPublicId)","session+shop","session+shop:read","shop:read","d1-projection","app.orders","live","safe_json_projection",""
"GET","/api/app/shops/:shopPublicId/payments/exceptions","src/pages/api/app/shops/[shopPublicId]/payments/exceptions.ts","dashboard","session->membership(shopPublicId)","session+shop","session+payments:manage","payments:manage","d1-projection","app.payments.payos","live","payment_exception_projection",""
"GET","/api/app/shops/:shopPublicId/payments/payos","src/pages/api/app/shops/[shopPublicId]/payments/payos.ts","dashboard","session->membership(shopPublicId)","session+shop","session+payments:manage","payments:manage","d1-projection","app.payments.payos","provider_pending","provider_safe_projection","PayOS secrets are write-only and never returned."
"PUT","/api/app/shops/:shopPublicId/payments/payos","src/pages/api/app/shops/[shopPublicId]/payments/payos.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","payments:manage","d1-transaction","app.payments.payos","provider_pending","provider_config_projection","PayOS secrets are write-only and never returned."
"DELETE","/api/app/shops/:shopPublicId/payments/payos","src/pages/api/app/shops/[shopPublicId]/payments/payos.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","payments:manage","d1-transaction","app.payments.payos","provider_pending","provider_config_projection","PayOS secrets are write-only and never returned."
"POST","/api/app/shops/:shopPublicId/payments/payos/health-checks","src/pages/api/app/shops/[shopPublicId]/payments/payos/health-checks.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+recent-auth","payments:manage","d1-transaction","app.payments.payos","provider_pending","provider_health_projection",""
"PUT","/api/app/shops/:shopPublicId/products/:productId","src/pages/api/app/shops/[shopPublicId]/products/[productId].ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+catalog:manage","catalog:manage","d1-transaction","app.catalog","live","mutation_projection",""
"POST","/api/app/shops/:shopPublicId/products/:productId/private-file-policy","src/pages/api/app/shops/[shopPublicId]/products/[productId]/private-file-policy.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+catalog:manage","catalog:manage","d1-transaction","app.inventory","live","private_file_policy_projection",""
"GET","/api/app/shops/:shopPublicId/products/:productId/images","src/pages/api/app/shops/[shopPublicId]/products/[productId]/images.ts","dashboard","session->membership(shopPublicId)","session+shop","session+catalog:read","catalog:read","d1-projection","app.catalog","live","product_image_projection",""
"POST","/api/app/shops/:shopPublicId/products/:productId/images","src/pages/api/app/shops/[shopPublicId]/products/[productId]/images.ts","dashboard","session->membership(shopPublicId)","session+shop","csrf+catalog:manage","catalog:manage","d1-transaction","app.catalog","live","product_image_projection","Attaches an active shop media asset to the product; composite tenant keys keep image, product, and asset in one shop."
